"date","cloud_cover","cloud_cover_percentage"
"2004-05-10",0.736853837966919,73.6853837966919
"2004-05-11",0.369713127613068,36.9713127613068
"2004-05-12",0.574971079826355,57.4971079826355
"2004-05-13",0.913513422012329,91.3513422012329
"2004-05-14",0.725606083869934,72.5606083869934
"2004-05-15",0.373769104480743,37.3769104480743
"2004-05-16",0.52391117811203,52.391117811203
"2004-05-17",0,0
"2004-05-18",0,0
"2004-05-19",0.0352704338729382,3.52704338729382
"2004-05-20",0.00399786978960037,0.399786978960037
"2004-05-21",0.971517622470856,97.1517622470856
"2004-05-22",0.954481720924377,95.4481720924377
"2004-05-23",0.76310396194458,76.310396194458
"2004-05-24",0.00690452381968498,0.690452381968498
"2004-05-25",0,0
"2004-05-26",0.188675940036774,18.8675940036774
"2004-05-27",0.982902884483337,98.2902884483337
