"TIMESTAMP","CO2_F_MDS"
2005-10-06,451.744
2005-10-07,400.293
2005-10-08,383.951
2005-10-09,479.978
2005-10-10,517.35
2005-10-11,431.772
2005-10-12,423.426
2005-10-13,466.176
2005-10-14,477.112
2005-10-15,435.819
2005-10-16,358.908
2005-10-17,366.034
2005-10-18,354.761
2005-10-19,379.498
2005-10-20,382.863
2005-10-21,398.309
2005-10-22,370.827
2005-10-23,420.625
2005-10-24,382.101
2005-10-25,364.647
2005-10-26,386.616
2005-10-27,523.407
2005-10-28,535.115
2005-10-29,536.346
2005-10-30,562.619
2005-10-31,554.516
2005-11-01,446.508
2005-11-02,520.78
2005-11-03,425.17
2005-11-04,466.47
2005-11-05,439.542
2005-11-06,562.592
2005-11-07,427.143
2005-11-08,525.829
2005-11-09,466.383
2005-11-10,434.472
2005-11-11,445.015
2005-11-12,563.406
2005-11-13,504.006
2005-11-14,380.519
2005-11-15,386.893
2005-11-16,380.719
2005-11-17,359.274
2005-11-18,380.28
2005-11-19,387.891
2005-11-20,400.547
2005-11-21,410.222
2005-11-22,360.816
2005-11-23,363.298
2005-11-24,368.503
2005-11-25,458.655
2005-11-26,569.401
2005-11-27,541.038
2005-11-28,467.247
2005-11-29,526.064
2005-11-30,578.131
2005-12-01,467.291
2005-12-02,468.971
2005-12-03,532.132
2005-12-04,424.649
2005-12-05,435.292
2005-12-06,431.152
2005-12-07,400.748
2005-12-08,458.757
2005-12-09,429.438
2005-12-10,377.465
2005-12-11,378.872
2005-12-12,392.422
2005-12-13,382.92
2005-12-14,372.425
2005-12-15,390.062
2005-12-16,409.717
2005-12-17,364.171
2005-12-18,374.019
2005-12-19,391.556
2005-12-20,393.161
2005-12-21,379.101
2005-12-22,385.112
2005-12-23,410.028
2005-12-24,446.736
2005-12-25,392.316
2005-12-26,392.172
2005-12-27,436.27
2005-12-28,382.551
2005-12-29,399.92
2005-12-30,480.291
2005-12-31,439.171
2006-01-01,413.928
2006-01-02,417.268
2006-01-03,387.401
2006-01-04,376.729
2006-01-05,384.212
2006-01-06,408.71
2006-01-07,391.611
2006-01-08,397.667
2006-01-09,407.015
2006-01-10,409.569
2006-01-11,404.477
2006-01-12,425.732
2006-01-13,479.064
2006-01-14,435.339
2006-01-15,408.069
2006-01-16,419.909
2006-01-17,463.16
2006-01-18,418.665
2006-01-19,416.617
2006-01-20,398.15
2006-01-21,379.377
2006-01-22,373.985
2006-01-23,375.422
2006-01-24,389.079
2006-01-25,438.12
2006-01-26,417.792
2006-01-27,389.755
2006-01-28,399.647
2006-01-29,397.024
2006-01-30,400.329
2006-01-31,454.367
2006-02-01,445.472
2006-02-02,486.811
2006-02-03,518.106
