xllcorner,yllcorner,cellsize,nrows,ncols,band,units,scale,latitude,longitude,site,product,start,end,complete,modis_date,calendar_date,tile,proc_date,pixel,value,fapar_fraction_value,value_fraction
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004345,2004-12-10,h18v04,2020212213815,1,3,0.03,0.03
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004353,2004-12-18,h18v04,2020213054953,1,56,0.56,0.56
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2004361,2004-12-26,h18v04,2020213201932,1,5,0.05,0.05
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2005001,2005-01-01,h18v04,2020216133759,1,25,0.25,0.25
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2005009,2005-01-09,h18v04,2020216143428,1,46,0.46,0.46
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2005017,2005-01-17,h18v04,2020216151712,1,0,0,0
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2005025,2005-01-25,h18v04,2020216191431,1,2,0.02,0.02
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2005033,2005-02-02,h18v04,2020217130528,1,4,0.04,0.04
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2005041,2005-02-10,h18v04,2020218073300,1,9,0.09,0.09
583310.69,5257672.67,463.312716528,1,1,Fpar_500m,percent,0.01,47.28631,7.734333,sitename,MOD15A2H,2004-01-01,2023-12-31,TRUE,A2005049,2005-02-18,h18v04,2020218155624,1,2,0.02,0.02
