"date","ppfd","ppfd_bigleaf"
2004-11-28,5.605308e-05,63.1971
2004-11-29,4.543896e-05,51.2302
2004-11-30,3.73524e-05,42.113
2004-12-01,5.864388e-05,66.1181
2004-12-02,4.98168e-05,56.166
2004-12-03,9.318108e-05,105.0571
2004-12-04,4.063476e-05,45.8137
2004-12-05,2.26338e-05,25.5185
2004-12-06,5.951904e-05,67.1048
2004-12-07,4.94088e-05,55.706
2004-12-08,2.596716e-05,29.2767
2004-12-09,3.146904e-05,35.4798
2004-12-10,3.972084e-05,44.7833
2004-12-11,3.731976e-05,42.0762
2004-12-12,4.097748e-05,46.2001
2004-12-13,4.562664e-05,51.4418
2004-12-14,4.907628e-05,55.3311
2004-12-15,4.91844e-05,55.453
2004-12-16,4.117536e-05,46.4232
2004-12-17,4.299708e-05,48.4771
2004-12-18,7.657956e-05,86.3397
2004-12-19,3.38334e-05,38.1455
2004-12-20,0.00010959696,123.5652
2004-12-21,3.24666e-05,36.6045
2004-12-22,0.0001330896,150.052
2004-12-23,0.00010708368,120.7316
2004-12-24,5.082864e-05,57.3068
2004-12-25,9.17796e-05,103.477
2004-12-26,3.028992e-05,34.1504
2004-12-27,3.533892e-05,39.8429
2004-12-28,4.154052e-05,46.8349
2004-12-29,9.873192e-05,111.3154
2004-12-30,0.00012744288,143.6856
2004-12-31,9.047808e-05,102.0096
2005-01-01,0.00010374624,116.9688
2005-01-02,3.339888e-05,37.6556
2005-01-03,9.487836e-05,106.9707
2005-01-04,0.00016356108,184.4071
2005-01-05,0.00013703088,154.4956
2005-01-06,7.856652e-05,88.5799
2005-01-07,7.777296e-05,87.6852
2005-01-08,0.00015471156,174.4297
2005-01-09,9.191424e-05,103.6288
2005-01-10,0.00014330184,161.5658
2005-01-11,0.00016132116,181.8817
2005-01-12,0.00010741008,121.0996
2005-01-13,0.00017072148,192.4801
2005-01-14,0.00012610056,142.1722
2005-01-15,2.934132e-05,33.0809
2005-01-16,6.172632e-05,69.5934
2005-01-17,7.021476e-05,79.1637
2005-01-18,3.095904e-05,34.9048
2005-01-19,0.00012119232,136.6384
2005-01-20,3.532872e-05,39.8314
2005-01-21,5.326032e-05,60.0484
2005-01-22,0.00017113764,192.9493
2005-01-23,0.00010030884,113.0933
2005-01-24,0.00012743268,143.6741
2005-01-25,0.0001175754,132.5605
2005-01-26,0.0001462986,164.9445
2005-01-27,0.00015458916,174.2917
2005-01-28,0.00020422848,230.2576
2005-01-29,0.0001849362,208.5065
2005-01-30,0.0002117826,238.7745
2005-01-31,0.00011737548,132.3351
2005-02-01,0.00015027864,169.4318
2005-02-02,8.355024e-05,94.1988
2005-02-03,0.0002577642,290.6165
2005-02-04,0.00014711868,165.8691
2005-02-05,0.0001548768,174.616
2005-02-06,0.00012951756,146.0247
2005-02-07,0.00019784736,223.0632
2005-02-08,0.00023565672,265.6914
2005-02-09,0.00024835572,280.0089
2005-02-10,0.00018154164,204.6793
2005-02-11,4.643244e-05,52.3503
2005-02-12,4.956588e-05,55.8831
2005-02-13,5.463732e-05,61.6009
2005-02-14,0.00015249204,171.9273
2005-02-15,0.00013890564,156.6093
2005-02-16,0.00017535024,197.6988
2005-02-17,0.0002855286,321.9195
2005-02-18,0.00016816332,189.5959
2005-02-19,0.00015683112,176.8194
2005-02-20,0.00016383852,184.7199
2005-02-21,0.00020993844,236.6953
2005-02-22,0.00023937972,269.8889
2005-02-23,0.00024755808,279.1096
2005-02-24,0.0002499408,281.796
2005-02-25,0.00023604228,266.1261
2005-02-26,0.00016149456,182.0772
2005-02-27,0.000171564,193.43
2005-02-28,0.00036620856,412.8822
2005-03-01,0.00040071924,451.7913
2005-03-02,0.00039262452,442.6649
2005-03-03,0.00036268344,408.9078
2005-03-04,0.00035003952,394.6524
2005-03-05,0.0001894548,213.601
2005-03-06,0.00018401616,207.4692
2005-03-07,0.00036821796,415.1477
2005-03-08,0.000231285,260.7625
2005-03-09,0.00016296132,183.7309
2005-03-10,0.0004405278,496.6735
2005-03-11,0.00041893848,472.3326
2005-03-12,0.00011105556,125.2097
