"date","PPFD_IN","PPFD_IN_QC","PPFD_DIF","PPFD_DIF_QC"
2004-09-06,507.98089949125,1,-9999,0
2004-09-07,492.534157272917,1,-9999,0
2004-09-08,510.56613193125,1,-9999,-9999
2004-09-09,496.18062313125,1,-9999,0
2004-09-10,418.422959154167,1,-9999,0
2004-09-11,367.878544291667,1,-9999,0
2004-09-12,183.375883564583,1,-9999,0
2004-09-13,450.445826697872,0.979166666666667,-9999,0
2004-09-14,165.08721174375,1,-9999,0
2004-09-15,137.966466810625,1,-9999,-9999
2004-09-16,310.490276154167,1,-9999,0
2004-09-17,423.541669239583,1,-9999,0
2004-09-18,394.919617715833,1,-9999,0
2004-09-19,159.988177570833,1,-9999,0
2004-09-20,376.637323291042,1,-9999,0
2004-09-21,294.297169452083,1,-9999,0
2004-09-22,344.799049544375,1,-9999,-9999
2004-09-23,165.176222562292,1,-9999,0
2004-09-24,289.953899327083,1,-9999,0
2004-09-25,145.4638159375,1,-9999,0
2004-09-26,73.1463767375,1,-9999,0
2004-09-27,165.399104763125,1,-9999,0
2004-09-28,143.753921417917,1,-9999,0
2004-09-29,167.035368441667,1,-9999,-9999
2004-09-30,314.753025025604,1,-9999,0
2004-10-01,301.63342634375,1,-9999,0
2004-10-02,159.021219510417,1,-9999,0
2004-10-03,369.351540545625,1,-9999,0
2004-10-04,300.15104645625,1,-9999,0
2004-10-05,347.25284274375,1,-9999,0
2004-10-06,110.46189496125,1,-9999,-9999
2004-10-07,177.208162020833,1,-9999,0
2004-10-08,236.370568377955,0.916666666666667,-9999,0
2004-10-09,-9999,0,-9999,0
2004-10-10,-9999,0,-9999,0
2004-10-11,-9999,0,-9999,0
2004-10-12,167.101931933333,1,-9999,0
2004-10-13,79.3318567020833,1,-9999,-9999
2004-10-14,176.191880627083,1,-9999,0
2004-10-15,113.145718458333,1,-9999,0
2004-10-16,198.46802396125,1,-9999,0
2004-10-17,127.18350649375,1,-9999,0
2004-10-18,239.758948979167,1,-9999,0
2004-10-19,49.221355593125,1,-9999,0
2004-10-20,78.6230043229167,1,-9999,-9999
2004-10-21,213.994305824375,1,-9999,0
2004-10-22,255.420912847917,1,-9999,0
2004-10-23,186.201915139583,1,-9999,0
2004-10-24,247.28197270625,1,-9999,0
2004-10-25,116.667304375,1,-9999,0
2004-10-26,46.259015625,1,-9999,0
2004-10-27,54.0841509791667,1,-9999,-9999
2004-10-28,93.4790699583333,1,-9999,0
2004-10-29,73.5351604166667,1,-9999,0
2004-10-30,245.664174166667,1,-9999,0
2004-10-31,98.5720256875,1,-9999,0
2004-11-01,58.5855960416667,1,-9999,0
2004-11-02,54.3917892083333,1,-9999,0
2004-11-03,114.392964375,1,-9999,-9999
2004-11-04,53.689355625,1,-9999,0
2004-11-05,117.037844791667,1,-9999,0
2004-11-06,88.0103784583333,1,-9999,0
2004-11-07,106.752389979167,1,-9999,0
2004-11-08,113.917511083333,1,-9999,0
2004-11-09,98.8980770833333,1,-9999,0
2004-11-10,115.490079395833,1,-9999,-9999
2004-11-11,65.8456267708333,1,-9999,0
2004-11-12,63.5912926170213,0.979166666666667,-9999,0
2004-11-13,114.006197416667,1,-9999,0
2004-11-14,110.612388958333,1,-9999,0
2004-11-15,201.747469702083,1,-9999,0
2004-11-16,199.3675226125,1,-9999,0
2004-11-17,67.678703125,1,-9999,-9999
2004-11-18,56.45802075,1,-9999,0
2004-11-19,85.8167496666667,1,-9999,0
2004-11-20,50.2820189791667,1,-9999,0
2004-11-21,96.9708941458333,1,-9999,0
2004-11-22,87.2204217083333,1,-9999,0
2004-11-23,72.0589700208333,1,-9999,0
2004-11-24,159.958897,1,-9999,-9999
2004-11-25,96.6465428958333,1,-9999,0
2004-11-26,98.8133562708334,1,-9999,0
2004-11-27,147.9563326875,1,-9999,0
2004-11-28,48.9240994791667,1,-9999,0
2004-11-29,44.0520939148936,0.979166666666667,-9999,0
2004-11-30,32.9223519166667,1,-9999,0
2004-12-01,51.2052957708333,1,-9999,-9999
2004-12-02,41.6656248541667,1,-9999,0
2004-12-03,82.5361200625,1,-9999,0
2004-12-04,35.563319875,1,-9999,0
2004-12-05,20.5304256041667,1,-9999,0
2004-12-06,53.1489669166667,1,-9999,0
2004-12-07,43.4424831708333,1,-9999,0
2004-12-08,23.1482479791667,1,-9999,-9999
2004-12-09,25.0638888541667,1,-9999,0
2004-12-10,32.8102817291667,1,-9999,0
2004-12-11,31.2636271041667,1,-9999,0
2004-12-12,34.631444125,1,-9999,0
2004-12-13,37.7251236875,1,-9999,0
2004-12-14,39.9608375625,1,-9999,0
2004-12-15,42.5145321979167,1,-9999,-9999
2004-12-16,36.8394039083333,1,-9999,0
2004-12-17,43.4821750638298,0.979166666666667,-9999,0
2004-12-18,77.1607485833333,1,-9999,0
2004-12-19,41.8143580833333,1,-9999,0
2004-12-20,109.25700945625,1,-9999,0
2004-12-21,29.1677988604167,1,-9999,0
2004-12-22,124.5918136,1,-9999,-9999
2004-12-23,105.812658041667,1,-9999,0
2004-12-24,53.2600930208333,1,-9999,0
2004-12-25,93.0083299375,1,-9999,0
2004-12-26,31.4678756666667,1,-9999,0
2004-12-27,31.335934125,1,-9999,0
2004-12-28,41.0045551041667,1,-9999,0
2004-12-29,78.2158834166667,1,-9999,0
2004-12-30,123.990886625,1,-9999,0
2004-12-31,86.64552793125,1,-9999,-9999
2005-01-01,97.63520325,1,79.3329166666667,1
2005-01-02,38.480198125,1,36.8616666666667,1
2005-01-03,89.4767278125,1,72.9385416666667,1
2005-01-04,161.394635257447,0.979166666666667,49.8031914893617,0.979166666666667
2005-01-05,136.73980215625,1,66.63625,1
2005-01-06,76.58641129375,1,71.71,1
2005-01-07,70.4861555625,1,66.965,1
2005-01-08,150.724705604167,1,55.1777083333333,1
2005-01-09,86.9288050625,1,75.606875,1
2005-01-10,136.69369275,1,62.4120833333333,1
2005-01-11,158.175416041667,1,65.2933333333333,1
2005-01-12,99.8725798270833,1,87.8185416666667,1
2005-01-13,166.694174395833,1,59.3185416666667,1
2005-01-14,111.698830625,1,83.7139583333333,1
2005-01-15,31.31031266875,1,30.1508333333333,1
2005-01-16,52.2449895,1,50.8564583333333,1
2005-01-17,60.3925367458333,1,58.6610416666667,1
2005-01-18,33.5889579697917,1,32.4541666666667,1
2005-01-19,117.785765041667,1,100.112916666667,1
2005-01-20,40.5605838541667,1,39.4525,1
2005-01-21,56.5167589791667,1,54.858125,1
2005-01-22,170.701067,0.979166666666667,67.240625,1
2005-01-23,95.3873943541667,1,81.6177083333333,1
2005-01-24,97.8725073191489,0.979166666666667,75.0191666666667,1
2005-01-25,111.965077714583,1,105.085416666667,1
2005-01-26,137.745533916667,1,116.990625,1
2005-01-27,143.499916347917,1,122.230416666667,1
2005-01-28,190.81144869375,1,113.297916666667,1
2005-01-29,180.280341335417,1,93.1497916666667,1
2005-01-30,205.405827645833,1,107.63125,1
2005-01-31,111.9834381875,1,108.969791666667,1
2005-02-01,154.641485549167,1,113.895,1
2005-02-02,83.6279703166667,1,81.8889583333333,1
2005-02-03,253.6755263125,1,164.489375,1
2005-02-04,150.928345316667,1,120.148125,1
2005-02-05,148.95574148125,1,130.755,1
2005-02-06,124.571406474375,1,120.384791666667,1
2005-02-07,186.987087583333,1,145.789166666667,1
2005-02-08,233.691621529787,0.979166666666667,108.866382978723,0.979166666666667
2005-02-09,245.00133485625,1,96.5683333333333,1
2005-02-10,175.809766033333,1,147.3025,1
2005-02-11,55.5743862916667,1,54.1235416666667,1
2005-02-12,60.5997613541667,1,58.6485416666667,1
2005-02-13,59.5154941458333,1,56.564375,1
2005-02-14,123.902950304348,0.958333333333333,115.803333333333,1
2005-02-15,133.101044,1,128.5375,1
2005-02-16,174.585558104167,1,155.787291666667,1
2005-02-17,275.4138492625,1,145.325625,1
2005-02-18,154.395784729167,1,149.779375,1
2005-02-19,160.418459354167,1,157.709166666667,1
2005-02-20,159.324210020833,1,149.412916666667,1
2005-02-21,196.621626416667,1,183.698958333333,1
2005-02-22,228.824912020833,1,204.596666666667,1
2005-02-23,239.577875252083,1,223.756666666667,1
2005-02-24,216.274058217391,0.958333333333333,161.37,1
2005-02-25,194.674868143182,0.916666666666667,202.92375,1
2005-02-26,150.837681446809,0.979166666666667,153.607708333333,1
2005-02-27,170.669154041667,1,167.318958333333,1
2005-02-28,369.03226217625,1,101.601875,1
2005-03-01,382.6605340125,1,140.806041666667,1
2005-03-02,346.539725075556,0.9375,164.511875,1
2005-03-03,348.461152508333,1,158.780833333333,1
2005-03-04,329.477187502083,1,180.0375,1
2005-03-05,175.844248148936,0.979166666666667,174.813333333333,1
2005-03-06,178.087575774167,1,174.944166666667,1
2005-03-07,339.487366725532,0.979166666666667,237.699583333333,1
2005-03-08,235.055793104167,1,225.096875,1
2005-03-09,171.133458,1,167.446041666667,1
2005-03-10,438.124825375,1,156.977916666667,1
2005-03-11,411.81642524375,1,195.553333333333,1
2005-03-12,126.0713646875,1,121.423541666667,1
2005-03-13,466.4850655625,1,126.394375,1
2005-03-14,444.845085870833,1,177.057291666667,1
2005-03-15,420.610230666667,1,145.396041666667,1
2005-03-16,470.763149829787,0.979166666666667,104.314893617021,0.979166666666667
2005-03-17,433.400655920833,1,172.77,1
2005-03-18,460.494469875,1,110.837083333333,1
2005-03-19,461.105617520833,1,112.591458333333,1
2005-03-20,294.43534025,1,230.6775,1
2005-03-21,330.194497604167,1,188.802083333333,1
2005-03-22,163.248098361702,0.979166666666667,153.639574468085,0.979166666666667
2005-03-23,379.678076666667,1,229.883541666667,1
2005-03-24,253.47615375,1,230.541458333333,1
2005-03-25,425.956908125,1,205.558958333333,1
2005-03-26,328.083989375,1,233.498958333333,1
2005-03-27,213.611317083333,1,203.02125,1
2005-03-28,328.393607083333,1,256.839166666667,1
2005-03-29,366.264932916667,1,262.62875,1
2005-03-30,174.170598333333,1,158.8175,1
2005-03-31,250.882144979167,1,196.157083333333,1
2005-04-01,502.8896898125,1,139.16375,1
2005-04-02,506.651566234043,0.979166666666667,171.30875,1
2005-04-03,506.087393979167,1,164.20625,1
2005-04-04,503.376612375,1,162.378333333333,1
2005-04-05,193.919948354167,1,180.905833333333,1
