NEE_L3.1_L3.2_QCF,NEE_L3.1_L3.2_QCF0,date
2.049136,2.049136,2022-01-08
5.5718196,,2022-01-08
1.2559972,1.2559972,2022-01-08
1.5854619,1.5854619,2022-01-08
1.3089012,1.3089012,2022-01-08
2.111453,2.111453,2022-01-08
1.4230368,1.4230368,2022-01-08
1.4008689,1.4008689,2022-01-08
3.0970712,,2022-01-08
2.2717424,2.2717424,2022-01-08
1.3327417,,2022-01-08
1.1981589,,2022-01-08
-1.7175354,,2022-01-08
,,2022-01-08
,,2022-01-08
-5.310665,-5.310665,2022-01-08
-3.7779369,-3.7779369,2022-01-08
,,2022-01-08
-5.3487145,-5.3487145,2022-01-08
-4.687174,-4.687174,2022-01-08
-4.3155406,-4.3155406,2022-01-08
-6.656495,-6.656495,2022-01-08
-7.29574319,-7.29574319,2022-01-08
-6.6484455,-6.6484455,2022-01-08
-5.03170038,-5.03170038,2022-01-08
-5.44314905,-5.44314905,2022-01-08
-5.9121052,-5.9121052,2022-01-08
-3.1608303,-3.1608303,2022-01-08
-2.9339701,-2.9339701,2022-01-08
-1.6358264,-1.6358264,2022-01-08
1.171132,1.171132,2022-01-08
,,2022-01-08
0.896626,,2022-01-08
2.147142,2.147142,2022-01-08
1.9928983,1.9928983,2022-01-08
1.9467471,1.9467471,2022-01-08
1.626405,1.626405,2022-01-08
1.5670595,1.5670595,2022-01-08
1.5111176,1.5111176,2022-01-08
1.8424827,1.8424827,2022-01-08
1.4128709,1.4128709,2022-01-08
1.1312738,1.1312738,2022-01-08
1.140456625,1.140456625,2022-01-08
3.0253625,,2022-01-08
,,2022-01-08
,,2022-01-09
,,2022-01-09
0.7288585,,2022-01-09
0.4868937,0.4868937,2022-01-09
0.8988434,0.8988434,2022-01-09
0.7165608,0.7165608,2022-01-09
1.9819211,,2022-01-09
1.6676264,1.6676264,2022-01-09
3.0752373,3.0752373,2022-01-09
,,2022-01-09
2.0654829,2.0654829,2022-01-09
7.0735,,2022-01-09
,,2022-01-09
3.1430566,,2022-01-09
4.2779081,4.2779081,2022-01-09
1.9949778,,2022-01-09
,,2022-01-09
-0.86185039,,2022-01-09
-0.9715657,,2022-01-09
-1.2559945,,2022-01-09
,,2022-01-09
,,2022-01-09
2.6289299,2.6289299,2022-01-09
,,2022-01-09
-8.8876141,,2022-01-09
,,2022-01-09
-7.1298071,,2022-01-09
-8.408764,-8.408764,2022-01-09
-3.8056697,,2022-01-09
,,2022-01-09
-0.6486014,,2022-01-09
-1.5778344,,2022-01-09
-3.4329162,,2022-01-09
,,2022-01-09
,,2022-01-09
,,2022-01-09
1.528592,,2022-01-09
,,2022-01-09
,,2022-01-09
,,2022-01-09
-4.086162,,2022-01-09
6.9831257,,2022-01-09
,,2022-01-09
-1.9647582,,2022-01-09
1.583979,,2022-01-09
-2.0572465,,2022-01-09
,,2022-01-09
,,2022-01-09
-0.5050282,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-10
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-11
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
,,2022-01-12
-0.487583,-0.487583,2022-01-12
2.134259,2.134259,2022-01-12
2.4149794,2.4149794,2022-01-12
1.329142,,2022-01-12
,,2022-01-12
,,2022-01-12
1.182348,,2022-01-12
2.2021192,,2022-01-12
1.272175,1.272175,2022-01-12
2.049936,,2022-01-12
,,2022-01-12
2.057433,2.057433,2022-01-12
,,2022-01-12
2.0072857,2.0072857,2022-01-12
2.9443686,2.9443686,2022-01-12
1.7129341,,2022-01-12
0.7576739,,2022-01-13
1.6367762,1.6367762,2022-01-13
0.8501797,,2022-01-13
1.4602152,,2022-01-13
1.277699,1.277699,2022-01-13
1.63113869,1.63113869,2022-01-13
1.420285,,2022-01-13
1.2816703,1.2816703,2022-01-13
1.778712,1.778712,2022-01-13
1.3414946,1.3414946,2022-01-13
1.098061,,2022-01-13
1.7935751,1.7935751,2022-01-13
4.3967756,,2022-01-13
3.2828791,3.2828791,2022-01-13
4.2602938,4.2602938,2022-01-13
5.073433,,2022-01-13
3.229365,3.229365,2022-01-13
2.7523169,2.7523169,2022-01-13
2.5565873,2.5565873,2022-01-13
1.4399224,1.4399224,2022-01-13
1.2133588,,2022-01-13
-0.57769,,2022-01-13
-2.1573352,-2.1573352,2022-01-13
-1.9868912,-1.9868912,2022-01-13
-3.1721099,-3.1721099,2022-01-13
-3.3255956,-3.3255956,2022-01-13
-3.493973,-3.493973,2022-01-13
-3.1195918,-3.1195918,2022-01-13
