TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198811,2.153,1.591,1.935,2.961,1.995,53.56,303.642,0.569,96.687,1.779,1.514
198812,2.355,2.075,1.171,2.822,1.244,32.336,312.284,0.39,96.892,3.177,1.806
198901,0.697,0.129,1.54,1.593,1.997,58.333,285.304,0.446,97.565,0.598,1.032
198902,2.723,2.028,1.9,3.627,2.381,80.414,296.496,1.205,96.54,2.509,1.596
198903,7.853,6.819,2.704,8.845,3.342,138.901,308.436,3.502,96.225,2.187,1.94
198904,6.862,5.825,1.587,7.613,2.277,145.226,325.083,1.647,95.428,5.287,1.885
198905,14.459,12.584,2.326,15.501,3.754,251.191,327.444,5.808,96.468,2.305,1.937
198906,15.289,13.516,1.932,16.175,3.171,248.554,340.5,6.068,96.308,2.904,1.786
198907,18.399,16.679,1.853,19.283,3.108,223.738,361.562,5.755,96.555,4.735,1.449
198908,17.458,15.91,2.047,18.465,3.262,199.882,357.477,4.852,96.266,3.606,1.419
198909,14.318,13.553,1.392,14.974,2.648,137.516,351.265,3.149,96.48,2.444,1.639
198910,10.146,9.153,2.307,11.272,3.23,98.516,325.134,2.43,96.672,2.311,1.494
198911,2.35,1.649,1.741,3.4,2.448,71.792,288.346,0.851,96.206,0.927,1.247
198912,1.157,0.626,1.833,2.043,2.215,48.79,284.709,0.969,96.068,1.696,1.473
199001,0.569,0.024,1.952,1.436,2.141,59.08,284.354,0.803,96.829,1.073,1.268
199002,6.19,5.488,2.466,7.088,2.744,78.018,304.631,2.261,96.278,4.001,2.496
199003,7.35,6.436,2.407,8.25,3.081,145.336,303.606,3.25,97.203,1.975,1.896
199004,6.717,5.69,1.842,7.461,2.583,154.672,314.647,2.211,95.925,2.781,1.864
199005,14.618,12.81,1.979,15.631,3.372,242.514,332.067,5.189,96.426,3.767,1.459
199006,14.89,13.471,1.791,15.6,2.765,199.821,353.241,3.967,96.161,4.835,1.565
199007,17.834,15.939,2.296,18.82,3.49,245.524,351.346,6.749,96.527,3.604,1.86
199008,18.282,16.568,2.417,19.384,3.627,221.356,352.792,6.805,96.603,2.72,1.615
199009,12.776,11.629,2.193,13.74,3.229,140.886,338.949,3.258,96.423,3.083,1.869
199010,10.854,10.11,1.959,11.684,2.612,99.567,332.562,2.035,96.004,3.675,1.471
199011,3.746,3.384,1.161,4.273,1.326,50.023,313.496,0.58,95.99,4.02,1.934
199012,-0.638,-0.914,1.221,-0.178,1.233,40.34,295.345,0.445,96.225,2.462,1.925
199101,0.727,0.361,1.364,1.311,1.482,53.017,286.444,0.824,96.838,1.906,1.877
199102,-1.774,-2.436,2.516,-0.953,3.039,94.583,276.188,0.987,96.125,1.229,1.445
199103,6.964,6.404,1.879,7.513,2.672,118.904,316.817,1.82,95.87,2.476,1.689
199104,7.206,6.145,2.209,7.976,3.424,197.219,302.874,3.303,96.07,1.813,1.642
